jarName,project
appdaemon-deploy.jar,appd
applyserviceinvoker-deploy.jar,apply-service-invoker
autoemail-deploy.jar,auto-email
cacheservice-deploy.jar,cacheservice
control-data-deploy.jar,dbtools/control-data-deploy
cresecuretest-deploy.jar,cresecuretest
dbtools.jar,dbtools
democonsole-deploy.jar,console
dsm-deploy.jar,dsm
gnupg-configurator-deploy.jar,gnupg-configurator
hornetq-deploy.jar,hornetq
hub-file-listener-deploy.jar,hub-file-listener,
hubconsole-deploy.jar,hubconsole
hubdeployer-deploy.jar,hubdeployer
hubftp-deploy.jar,hubftp
JmsLoadTest-deploy.jar,JmsLoadTest
jrps-deploy.jar,jrps
mock-rest-service-deploy.jar,mock-rest-service
mq-destinations-deploy.jar,mq-destinations
payloadgeneratorwizard-deploy.jar,payloadgeneratorwizard
reports-deploy.jar,reports
soapqc-deploy.jar,soapqc-deploy
texmf-deploy.jar,texmf
tomcat-deploy.jar,tomcat
UniversalWorker-deploy.jar,UniversalWorker
webvendorperformancedailyupdate-deploy.jar,webvendorperformancedailyupdate
xquery.jar,xquery
